ResourceTypeAcronym,ScenarioName,ObjectType,AttributeName,AttributeNameCV,InstanceName,InstanceNameCV,SeasonName,SeasonOrder,SeasonNumericValue
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Mar,3,494.876033058
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Apr,4,429.818181818
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",May,5,1083.57024793
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jun,6,17187.4380165
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Jul,7,13761.5867769
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Aug,8,639.867768595
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Sep,9,741.619834711
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Oct,10,511.272727273
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Nov,11,384.462809917
BearRiverWyoming,Bear Wet Year Model,Gage Node,Average Monthly Streamflow,Flow,Node 12.04,"USGS 10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Dec,12,314.380165289
