ResourceTypeAcronym,ScenarioName,ObjectTypeCV,AttributeName_Abstract,AttributeNameCV,UnitName,InstanceName,SeasonName,SeasonOrder,SeasonNumericValue
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Oct,1, 485.76359
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Nov,2, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Dec,3, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Jan,4, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Feb,5, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Mar,6, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Apr,7, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,May,8, 736.02745
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Jun,9, 1247.74046
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Jul,10, 1839.06337
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Aug,11, 1729.41071
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,Paradise Canal,Sep,12, 940.98499 
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Oct,1, 2001.137815
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Nov,2, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Dec,3, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Jan,4, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Feb,5, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Mar,6, 0
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Apr,7, 233.0197943
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,May,8, 6825.766242
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Jun,9, 8624.529103
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Jul,10, 8854.276147
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Aug,11, 8303.026052
WEAP,USU WEAP Model 2017,Demand site,Monthly Demand,Demand,AF,West Cache Irr,Sep,12, 5680.065752 
